Name,Type,Alias,Rating,Num_Reviews,THC%,Other_Cannabinoids,Main_Effect,Terpene,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
Wonder Woman,Hybrid,,4.5,170.0,THC 18%,CBG 1%,Energetic,Pinene,,,,,,0.0,0.008,0.005,0.0,0.0,0.0,0.0,0.041,0.0,0.006,0.033,0.122,0.026,0.0,0.334,0.19,,0.048,0.223,0.0,0.0,,0.26,0.0,24.29,0.0,0.0,0.05,0.0,0.0,0.0,0.76,0.3,0.0,
Gorilla Cheese,Hybrid,aka Gorilla'd Cheese,4.4,14.0,THC —,CBD —,Creative,,,,,,,0.0,0.032,0.284,0.006,0.0,0.172,0.0,0.187,0.013,0.02,0.268,0.66,0.189,0.0,1.753,0.202,,0.216,0.616,0.0,0.0,,7.86,0.0,56.08,0.0,0.1,0.2,0.0,0.0,0.0,1.18,0.24,0.18,
Dragon OG,Hybrid,,4.4,40.0,THC 19%,CBG 1%,Aroused,Limonene,,,,,,0.0,0.013,0.008,0.0,0.003,0.0,0.0,0.074,0.0,0.005,0.086,0.098,0.041,0.0,0.339,0.192,,0.084,0.445,0.0,0.0,,0.68,0.0,25.53,0.0,0.0,0.08,0.0,0.0,0.0,0.91,0.11,0.0,
Sour Candy,Hybrid,,4.5,48.0,THC 16%,CBG 1%,Creative,Myrcene,,,,,,0.0,0.02,0.215,0.006,0.003,0.067,0.0,0.19,0.033,0.101,0.268,0.757,0.186,0.0,2.437,0.232,,0.182,0.35,0.0,0.0,,3.06,0.0,70.96,0.0,0.0,0.17,0.0,0.0,0.0,1.48,0.21,0.0,
Banjo,Hybrid,,4.2,45.0,THC 19%,CBD 0%,Tingly,Myrcene,,,,,,0.0,0.011,0.007,0.0,0.002,0.094,0.0,0.059,0.044,0.006,0.032,0.047,0.077,0.0,0.16,0.66,,0.095,0.559,0.0,0.0,,1.36,0.0,25.3,0.02,0.0,0.05,0.0,0.0,0.0,0.35,0.09,0.02,
Grape Cookies,Indica,,4.6,41.0,THC 17%,CBG 1%,Sleepy,Caryophyllene,,,,,,0.0,0.012,0.027,0.002,0.002,0.0,0.0,0.285,0.001,0.009,0.063,0.258,0.045,0.0,0.682,0.226,,0.085,0.572,0.0,0.0,,0.99,0.0,21.47,0.0,0.0,0.07,0.0,0.0,0.0,1.22,0.06,0.0,
Orange 43,Hybrid,,4.7,30.0,THC 18%,CBG 1%,Happy,Terpinolene,,,,,,0.043,0.009,0.003,0.006,0.004,0.003,0.0,0.112,0.013,1.085,0.08,0.062,0.091,0.03,0.211,0.812,,0.173,0.409,0.018,0.0,,1.24,0.0,29.14,0.0,0.0,0.07,0.0,0.0,0.0,0.86,0.14,0.0,
Blucifer,Sativa,,4.2,24.0,THC 20%,CBD 0%,Uplifted,Caryophyllene,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.381,0.0,0.119,0.028,0.0,0.338,0.191,,0.047,0.063,0.0,0.0,,1.11,0.0,21.7,0.0,0.0,0.02,0.0,0.0,0.0,0.3,0.15,0.0,
Goo,Indica,,4.3,171.0,THC 17%,CBG 1%,Sleepy,Myrcene,,,,,,0.0,0.003,0.003,0.0,0.001,0.039,0.0,0.015,0.003,0.008,0.027,0.038,0.081,0.0,0.095,0.7,,0.046,0.079,0.001,0.0,,0.39,0.0,6.74,0.0,0.0,11.48,0.17,0.0,0.06,0.48,0.15,0.02,
Appalachia,Hybrid,,4.6,28.0,THC 21%,CBG 1%,Talkative,Caryophyllene,,,,,,0.0,0.006,0.01,0.0,0.002,0.017,0.0,0.123,0.001,0.005,0.086,0.233,0.024,0.0,0.773,0.173,,0.041,0.272,0.0,0.0,,2.23,0.0,21.24,0.0,0.0,0.1,0.0,0.0,0.0,0.65,0.06,0.05,
Lemon Sour Diesel,Hybrid,,4.5,29.0,THC 16%,CBG 1%,Energetic,Terpinolene,,,,,,0.0,0.054,0.032,0.0,0.001,0.0,0.0,0.07,0.044,0.013,0.282,0.407,0.012,0.0,1.422,0.22,,0.083,0.533,0.0,0.0,,1.0,0.0,16.97,0.0,0.0,0.06,0.0,0.0,0.0,0.56,0.05,0.0,
Green Lantern,Sativa,,4.6,54.0,THC 20%,CBG 1%,Talkative,Caryophyllene,,,,,,0.0,0.008,0.21,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.275,0.71,0.041,0.0,2.67,0.065,,0.075,0.242,0.0,0.0,,4.72,0.0,67.52,0.08,0.0,0.16,0.0,0.0,0.0,3.52,0.24,0.0,
Green Ribbon,Hybrid,,4.1,169.0,THC 18%,CBD 0%,Energetic,Myrcene,,,,,,0.0,0.004,0.007,0.0,0.0,0.125,0.0,0.045,0.0,0.0,0.073,0.041,0.018,0.0,0.139,0.446,,0.038,0.131,0.0,0.0,,0.3,0.0,17.83,0.0,0.0,0.04,0.0,0.0,0.0,0.36,0.11,0.0,
Orange Tree,Hybrid,,4.5,6.0,THC 18%,CBD 0%,Energetic,Caryophyllene,,,,,,0.0,0.005,0.005,0.0,0.003,0.0,0.0,0.062,0.0,0.0,0.019,0.084,0.019,0.0,0.299,0.143,,0.036,0.181,0.0,0.0,,0.29,0.0,17.95,0.0,0.0,0.05,0.0,0.0,0.0,0.2,0.15,0.0,
The Sauce,Hybrid,,4.7,56.0,THC 17%,CBG 1%,Energetic,Limonene,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.079,0.0,0.0,0.103,0.412,0.0,0.473,0.515,,0.253,0.988,0.0,0.0,,76.01,0.0,0.0,0.48,1.1,0.0,0.2,0.0,0.0,0.0,2.0,1.61,
Blackberry Cream,Indica,aka Blackberry Creme,4.8,56.0,THC 15%,CBG 1%,Sleepy,Limonene,,,,,,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.042,0.025,0.003,0.0,0.04,0.284,0.0,0.149,0.34,,0.088,0.121,0.0,0.0,,0.91,0.0,12.25,0.0,0.0,0.04,0.0,0.0,0.0,0.3,0.02,0.0,
Cali Gold,Hybrid,aka California Gold,4.4,69.0,THC 19%,CBG 1%,Euphoric,Myrcene,,,,,,0.0,0.013,0.007,0.0,0.006,0.0,0.0,0.111,0.0,0.003,0.035,0.068,0.045,0.0,0.224,0.237,,0.08,0.315,0.0,0.0,,1.6,0.0,17.23,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,
Sour Gorilla,Sativa,aka Gorilla Diesel,5.0,5.0,THC 19%,CBD 0%,Uplifted,Pinene,,,,,,0.0,0.013,0.08,0.0,0.018,0.287,0.0,0.23,0.0,0.0,0.487,0.202,0.08,0.0,0.623,0.113,,0.088,0.208,0.0,0.0,,2.98,0.0,57.87,0.0,0.0,0.29,0.0,0.0,0.0,1.56,0.24,0.08,
Lemon Kush Headband,Hybrid,,4.8,13.0,THC 20%,CBG 1%,Relaxed,Limonene,,,,,,0.0,0.015,0.0,0.0,0.021,0.0,0.0,0.06,0.052,0.0,0.014,0.075,0.084,0.0,0.241,0.118,,0.112,0.592,0.0,0.0,,1.34,0.0,23.93,0.0,0.0,0.02,0.0,0.0,0.0,0.66,0.3,0.0,
Blue Glue,Hybrid,,4.9,14.0,THC 17%,CBD 0%,Euphoric,Pinene,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.079,0.0,0.0,0.108,0.421,0.0,0.259,0.942,,0.182,0.11,0.0,0.0,,1.51,0.0,14.75,0.0,0.0,0.02,0.0,0.0,0.0,0.17,0.05,0.0,
Alpha Blue,Sativa,"aka Alpha Dream, DD",4.4,115.0,THC 20%,CBG 1%,Energetic,Myrcene,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.0,0.077,0.111,4.207,0.0,0.385,1.746,,1.86,0.682,0.0,0.0,,80.58,0.0,0.0,0.47,0.5,0.0,0.18,0.0,0.0,0.0,1.77,1.02,
Slymer,Hybrid,aka Slimer,3.9,8.0,THC 19%,CBG 1%,Talkative,Terpinolene,,,,,,0.039,0.006,0.004,0.007,0.007,0.1,0.007,0.039,0.031,1.025,0.123,0.065,0.086,0.03,0.22,0.377,,0.145,0.269,0.019,0.002,,1.42,0.01,23.18,0.12,0.0,0.08,0.0,0.0,0.0,0.84,0.15,0.04,
SnowLAnd,Hybrid,aka Snowland,4.7,64.0,THC 20%,CBG 2%,Aroused,Terpinolene,,,,,,0.035,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.113,0.733,0.0,0.0,0.055,0.026,0.067,0.186,,0.097,0.176,0.0,0.0,,1.52,0.0,22.61,,0.0,0.05,0.0,0.0,0.0,2.13,0.14,0.04,
Vanilla Gorilla,Hybrid,,4.3,22.0,THC 18%,CBD 0%,Giggly,Caryophyllene,,,,,,0.0,0.012,0.004,0.0,0.004,0.0,0.0,0.133,0.004,0.013,0.101,0.295,0.045,0.0,1.014,0.597,,0.087,0.576,0.001,0.0,,0.67,0.0,27.3,0.0,0.0,0.06,0.0,0.0,0.0,0.41,0.07,0.0,
Valley Girl,Hybrid,aka Valley Girl OG,4.6,48.0,THC 21%,CBG 1%,Happy,Caryophyllene,,,,,,0.0,0.027,0.0,0.0,0.014,0.0,0.0,0.223,0.0,0.025,0.0,0.061,0.073,0.0,0.191,0.361,,0.112,0.661,0.0,0.0,,0.7,0.0,21.71,0.0,0.0,0.04,0.0,0.0,0.0,0.95,0.1,0.01,
Sour Alien,Hybrid,aka Sour Alien OG,4.3,130.0,THC 19%,CBG 1%,Tingly,Terpinolene,,,,,,0.0,0.006,0.005,0.0,0.001,0.0,0.0,0.034,0.003,0.0,0.059,0.076,0.153,0.0,0.206,0.374,,0.089,0.069,0.0,0.0,,0.27,0.0,19.56,0.0,0.0,0.04,0.0,0.0,0.0,0.36,0.05,0.0,
Caramelo,Sativa,,4.3,30.0,THC 16%,CBD 0%,Tingly,Limonene,,,,,,0.0,0.011,0.013,0.0,0.003,0.106,0.0,0.155,0.004,0.006,0.116,0.131,0.132,0.0,0.434,0.301,,0.107,0.457,0.0,0.0,,2.74,0.0,18.19,0.0,0.0,0.12,0.0,0.0,0.0,0.5,0.11,0.0,
Bubba Cookies,Hybrid,,4.5,11.0,THC —,CBD —,Relaxed,,,,,,,0.0,0.01,0.004,0.0,0.0,0.0,0.0,0.049,0.047,0.0,0.03,0.047,0.515,0.0,0.169,0.166,,0.137,0.076,0.0,0.0,,0.34,0.0,19.06,0.0,0.0,0.04,0.0,0.0,0.0,0.71,0.04,0.0,
Sour Pineapple,Hybrid,,4.3,4.0,THC 21%,CBG 1%,Focused,Myrcene,,,,,,0.0,0.018,0.149,0.0,0.0,0.049,0.0,0.126,0.073,0.198,0.335,0.554,0.413,0.0,1.381,1.001,,0.257,0.458,0.0,0.0,,4.26,0.0,66.74,0.0,0.0,2.46,0.12,0.0,0.1,1.26,0.25,0.09,
Ambrosia,Hybrid,,4.2,88.0,THC 17%,CBG 1%,Creative,Myrcene,,,,,,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.469,0.619,0.0,0.096,0.148,0.0,0.201,0.093,,0.105,0.138,0.0,0.0,,2.19,0.0,16.33,0.0,0.0,,0.0,0.0,0.0,4.31,0.16,0.01,
Golden Strawberry,Hybrid,,4.5,11.0,THC 23%,CBG 1%,Creative,Myrcene,,,,,,0.0,0.05,0.056,0.0,0.0,0.0,0.0,0.056,0.227,0.042,0.184,0.635,0.323,0.0,2.212,0.694,,0.392,1.743,0.0,0.0,,0.89,0.0,72.9,0.0,0.0,0.22,0.0,0.0,0.0,2.03,0.68,0.0,
Allen Wrench,Sativa,,4.3,185.0,THC 18%,CBD 0%,Energetic,Myrcene,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.067,0.101,0.0,0.194,1.293,,0.069,0.135,0.0,0.0,,75.45,0.57,0.2,0.53,3.31,0.06,0.3,0.0,0.0,0.0,2.34,0.1,
Blue Lights,Indica,"aka Blue Northern Lights, Blueberry Lights, Blueberry Northern Lights",4.6,81.0,THC 21%,CBG 1%,Euphoric,Myrcene,,,,,,0.0,0.007,0.007,0.0,0.0,0.0,0.003,0.052,0.0,0.005,0.036,0.097,0.279,0.0,0.262,0.615,,0.136,0.126,0.0,0.0,,0.49,0.0,19.69,0.0,0.0,0.05,0.0,0.0,0.0,0.48,0.04,0.0,
Turbo Diesel,Hybrid,,5.0,4.0,THC 14%,CBD 0%,Energetic,Caryophyllene,,,,,,0.0,0.023,0.019,0.0,0.035,0.031,0.0,0.293,0.0,0.033,0.07,0.245,0.07,0.0,0.551,0.251,,0.11,0.459,0.0,0.0,,0.48,0.0,15.54,0.02,0.0,0.06,0.0,0.01,0.02,0.26,0.04,0.07,
Lemon Garlic OG,Hybrid,,4.1,13.0,THC 18%,CBG 1%,Focused,Myrcene,,,,,,0.0,0.004,0.01,0.006,0.001,0.0,0.0,0.036,0.0,0.001,0.047,0.06,0.016,0.0,0.155,0.273,,0.021,0.114,0.0,0.0,,0.92,0.0,5.0,0.0,0.0,8.78,0.56,0.0,0.12,0.03,0.02,0.14,
Limon,Sativa,,4.8,29.0,THC 20%,CBG 1%,Energetic,Myrcene,,,,,,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.015,0.0,0.045,0.058,0.0,0.126,1.283,,0.102,0.635,0.0,0.0,,0.44,0.01,28.76,0.01,0.0,0.09,0.0,0.0,0.0,2.18,0.14,0.02,
Walter White,Hybrid,,4.7,65.0,THC 22%,CBG 1%,Energetic,Caryophyllene,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.086,0.048,0.0,0.232,0.769,,0.076,0.322,0.0,0.0,,0.55,0.0,20.09,0.0,0.0,0.05,0.0,0.0,0.0,0.65,0.19,0.0,
Black Haze,Hybrid,,4.4,44.0,THC 18%,CBD 0%,Giggly,Limonene,,,,,,0.0,0.015,0.003,0.0,0.0,0.0,0.0,0.021,0.045,0.005,0.018,0.07,0.075,0.0,0.27,0.091,,0.098,0.621,0.0,0.0,,0.32,0.0,20.47,0.0,0.0,0.05,0.0,0.0,0.0,0.25,0.09,0.0,
Dream Berry,Indica,aka Berry Dream,4.5,40.0,THC 14%,CBD 0%,Hungry,Myrcene,,,,,,0.003,0.012,0.138,0.029,0.003,0.074,0.0,0.061,0.024,0.032,0.137,0.221,0.304,0.002,0.615,0.376,,0.215,0.257,0.002,0.0,,1.97,0.0,67.76,0.0,0.0,0.2,0.0,0.0,0.0,1.62,0.12,0.0,
Game Changer,Hybrid,aka Game Changer OG,4.4,123.0,THC 16%,CBD 0%,Uplifted,Limonene,,,,,,0.0,0.005,0.043,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.204,0.786,0.032,0.0,2.044,1.684,,0.074,0.312,0.0,0.0,,4.01,0.0,69.64,0.0,0.0,0.16,0.0,0.0,0.0,4.63,0.62,0.15,
Banana Glue,Hybrid,,4.3,3.0,THC 19%,CBD 0%,Euphoric,Myrcene,,,,,,0.0,0.02,0.029,0.0,0.002,0.0,0.0,0.093,0.042,0.01,0.083,0.244,0.141,0.0,0.824,0.589,,0.159,0.636,0.0,0.0,,2.6,0.0,80.74,0.0,0.0,0.16,0.0,0.0,0.0,1.11,0.45,0.0,
Sky OG,Hybrid,,4.7,9.0,THC 17%,CBD 0%,Relaxed,Myrcene,,,,,,0.0,0.009,0.007,0.0,0.008,0.0,0.0,0.144,0.002,0.013,0.044,0.143,0.035,0.0,0.437,1.11,,0.075,0.455,0.001,0.0,,0.78,0.0,22.23,0.0,0.0,0.06,0.0,0.0,0.0,0.65,0.17,0.01,
Cadillac Purple,Indica,aka Purple Cadillac,4.2,147.0,THC —,CBD —,Sleepy,,,,,,,0.0,0.004,0.006,0.0,0.0,0.0,0.0,0.068,0.077,0.0,0.025,0.069,0.3,0.0,0.27,0.656,,0.065,0.02,0.0,0.0,,0.42,0.0,19.42,0.0,0.0,0.04,0.0,0.0,0.02,0.23,0.08,0.0,
BTY OG,Indica,aka Better Than Yours OG,4.2,17.0,THC 23%,CBG 1%,Euphoric,Myrcene,,,,,,0.0,0.029,0.079,0.006,0.04,0.002,0.0,0.67,0.0,0.014,0.114,0.566,0.086,0.0,1.941,0.326,,0.196,0.637,0.0,0.004,,2.45,0.0,69.88,0.0,0.0,0.18,0.0,0.0,0.0,1.78,0.33,0.0,
Deep Sleep,Indica,aka PO #4,4.5,69.0,THC 15%,CBD 0%,Sleepy,Myrcene,,,,,,0.0,0.007,0.005,0.0,0.0,0.0,0.0,0.04,0.0,0.003,0.031,0.036,0.117,0.0,0.129,0.493,,0.073,0.106,0.0,0.0,,0.59,0.0,19.0,0.0,0.0,0.04,0.0,0.0,0.0,0.16,0.05,0.0,
Supreme OG,Hybrid,,5.0,2.0,THC 19%,CBG 1%,Giggly,Limonene,,,,,,0.0,0.009,0.0,0.0,0.024,0.0,0.0,0.2,0.0,0.0,0.05,0.13,0.048,0.0,0.41,0.548,,0.101,0.629,0.0,0.0,,0.92,0.0,20.54,0.0,0.0,0.05,0.0,0.0,0.0,0.73,0.13,0.02,
501st OG,Hybrid,aka 501 OG,4.6,125.0,THC 21%,CBG 1%,Sleepy,Myrcene,,,,,,0.0,0.005,0.0,0.0,0.001,0.0,0.0,0.094,0.0,0.0,0.029,0.037,0.031,0.0,0.133,0.427,,0.055,0.33,0.0,0.0,,0.4,0.01,22.18,0.02,0.0,0.08,0.0,0.0,0.02,0.71,0.08,0.0,
Cake Frosting,Hybrid,aka Frosted Cake,4.9,7.0,THC —,CBD —,Relaxed,,,,,,,0.0,0.016,0.071,0.0,0.0,0.0,0.0,0.368,0.0,0.032,0.153,0.652,0.048,0.0,1.681,1.237,,0.099,0.829,0.0,0.013,,3.9,0.0,72.48,0.0,0.0,0.12,0.0,0.0,0.0,1.18,0.29,0.0,
Snow Monster,Indica,,4.4,58.0,THC —,CBD —,Sleepy,,,,,,,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.188,0.0,0.106,0.123,,0.142,0.668,0.0,0.0,,1.17,0.0,25.29,0.0,0.0,0.04,0.0,0.0,0.07,0.73,0.05,0.0,
Tangie Dream,Hybrid,,4.4,21.0,THC 19%,CBD 0%,Creative,Myrcene,,,,,,0.0,0.008,0.007,0.001,0.002,0.001,0.0,0.07,0.062,0.004,0.005,0.053,0.402,0.0,0.169,1.413,,0.202,0.155,0.0,0.0,,0.95,0.0,20.7,0.0,0.0,0.06,0.0,0.0,0.0,0.42,0.05,0.0,
Fruity Chronic Juice,Indica,aka Chronic Fruit Juice,4.4,46.0,THC 18%,CBG 1%,Talkative,Myrcene,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.086,0.624,0.0,0.208,0.36,,0.24,0.089,0.0,0.0,,1.15,0.0,19.27,0.0,0.0,0.07,0.0,0.0,0.03,0.61,0.07,0.01,
Big Sur Holy Weed,Sativa,"aka Big Sur Holy Bud, BSHB, BSHW",4.1,31.0,THC 18%,CBD 0%,Energetic,Myrcene,,,,,,0.0,0.016,0.011,0.0,0.006,0.0,0.0,0.078,0.67,0.008,0.034,0.085,0.472,0.0,0.25,0.56,,0.236,0.586,0.0,0.0,,1.66,0.01,19.04,0.01,0.0,0.07,0.0,0.0,0.0,0.28,0.12,0.02,
Pineapple Thai,Sativa,,3.9,89.0,THC 17%,CBD 0%,Focused,Myrcene,,,,,,0.0,0.004,0.04,0.0,0.001,0.002,0.0,0.035,0.423,0.001,0.015,0.278,0.163,0.0,0.721,2.151,,0.077,0.074,0.0,0.0,,0.67,0.03,15.74,0.01,0.0,0.06,0.0,0.0,0.0,0.35,0.04,0.04,
Chem Scout,Indica,aka Chemscout,4.6,55.0,THC 20%,CBD 0%,Relaxed,Caryophyllene,,,,,,0.0,0.034,0.048,0.0,0.097,0.0,0.0,0.297,0.0,0.099,0.086,0.987,0.1,0.0,2.294,0.91,,0.193,0.75,0.0,0.0,,5.8,0.0,67.54,0.04,0.0,0.22,0.0,0.0,0.01,3.87,0.28,0.0,
Dark Knight,Hybrid,,4.4,16.0,THC —,CBD —,Happy,,,,,,,0.0,0.0,0.127,0.0,0.0,0.109,0.0,0.229,0.027,0.0,0.267,0.426,0.254,0.0,1.253,0.653,,0.123,0.181,0.0,0.0,,9.0,0.0,66.43,0.0,0.46,0.17,0.0,0.0,0.0,0.78,0.41,0.16,
Super Kush,Indica,,4.1,88.0,THC 18%,CBD 0%,Happy,Terpinolene,,,,,,0.0,0.014,0.01,0.0,0.008,0.0,0.0,0.006,0.001,0.007,0.047,0.107,0.056,0.0,0.348,0.336,,0.097,0.596,0.0,0.0,,1.19,0.0,24.04,0.0,0.0,0.07,0.0,0.0,0.0,0.41,0.14,0.0,
Cookie Kush,Hybrid,,4.4,5.0,THC 16%,CBG 1%,Happy,Myrcene,,,,,,0.0,0.015,0.005,0.0,0.0,0.0,0.0,0.399,0.0,0.008,0.001,0.046,0.054,0.0,0.151,0.094,,0.101,0.469,0.0,0.0,,0.38,0.0,16.77,0.0,0.0,0.04,0.0,0.0,0.0,0.27,0.06,0.0,
Green Candy,Sativa,aka California Green Candy,4.2,126.0,THC 17%,CBG 1%,Energetic,Myrcene,,,,,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.089,0.22,0.003,0.07,0.078,0.058,0.0,0.195,0.511,,0.042,0.148,0.0,0.0,,1.21,0.0,16.8,0.0,0.0,0.05,0.0,0.0,0.0,1.31,0.14,0.02,
Locktite,Hybrid,aka Loctite,4.4,74.0,THC 19%,CBG 1%,Happy,Caryophyllene,,,,,,0.0,0.005,0.014,0.0,0.0,0.099,0.0,0.077,0.038,0.0,0.077,0.244,0.036,0.0,0.586,0.48,,0.05,0.1,0.0,0.0,,1.59,0.01,20.19,0.06,0.0,0.07,0.0,0.0,0.0,0.5,0.05,0.02,
Warlock,Hybrid,,3.9,76.0,THC 16%,CBD 0%,Relaxed,Myrcene,,,,,,0.01,0.0,0.016,0.0,0.0,0.0,0.0,0.495,0.0,0.0,0.145,0.603,0.169,0.0,0.5,2.686,,0.21,2.417,0.0,0.0,,56.09,0.0,0.0,1.03,0.55,0.0,19.65,0.24,0.0,0.0,2.28,1.95,
Banana Dream,Hybrid,,4.2,13.0,THC 32%,CBG 1%,Talkative,Limonene,,,,,,0.0,0.0,0.104,0.0,0.001,0.008,0.0,0.026,0.0,0.0,0.057,0.094,0.021,0.0,0.243,0.04,,0.019,0.038,0.0,0.0,,2.12,0.0,91.39,0.0,0.0,0.15,0.0,0.0,0.0,0.69,0.25,0.0,
